treatment,nursery,line,species,depth,coral.id,colony,harvest.year,year,survival,colony.group,colony.depth,colony.year
GlassbottomYear 2,Glassbottom,33,ACER,7.5,33,268,"1,2",Year 2,1,ACER1,ACER17.5,ACER1Year 2
GlassbottomYear 3,Glassbottom,33,ACER,7.5,33,268,"1,2",Year 3,1,ACER1,ACER17.5,ACER1Year 3
GlassbottomYear 1,Glassbottom,33,ACER,7.5,34,268,"1,2",Year 1,1,ACER1,ACER17.5,ACER1Year 1
GlassbottomYear 2,Glassbottom,33,ACER,7.5,34,268,"1,2",Year 2,1,ACER1,ACER17.5,ACER1Year 2
GlassbottomYear 3,Glassbottom,33,ACER,7.5,34,268,"1,2",Year 3,1,ACER1,ACER17.5,ACER1Year 3
GlassbottomYear 1,Glassbottom,33,ACER,7.5,65,530,"1,2",Year 1,1,530,5307.5,530Year 1
GlassbottomYear 2,Glassbottom,33,ACER,7.5,65,530,"1,2",Year 2,1,530,5307.5,530Year 2
GlassbottomYear 3,Glassbottom,33,ACER,7.5,65,530,"1,2",Year 3,1,530,5307.5,530Year 3
GlassbottomYear 1,Glassbottom,33,ACER,7.5,73,530,"1,2",Year 1,1,530,5307.5,530Year 1
GlassbottomYear 2,Glassbottom,33,ACER,7.5,73,530,"1,2",Year 2,1,530,5307.5,530Year 2
GlassbottomYear 3,Glassbottom,33,ACER,7.5,73,530,"1,2",Year 3,1,530,5307.5,530Year 3
GlassbottomYear 1,Glassbottom,33,ACER,7.5,95,272,"1,2",Year 1,1,ACER1,ACER17.5,ACER1Year 1
GlassbottomYear 2,Glassbottom,33,ACER,7.5,95,272,"1,2",Year 2,1,ACER1,ACER17.5,ACER1Year 2
GlassbottomYear 3,Glassbottom,33,ACER,7.5,95,272,"1,2",Year 3,1,ACER1,ACER17.5,ACER1Year 3
GlassbottomYear 1,Glassbottom,33,ACER,7.5,96,272,1,Year 1,1,ACER1,ACER17.5,ACER1Year 1
GlassbottomYear 2,Glassbottom,33,ACER,7.5,96,272,1,Year 2,1,ACER1,ACER17.5,ACER1Year 2
GlassbottomYear 3,Glassbottom,33,ACER,7.5,96,272,1,Year 3,1,ACER1,ACER17.5,ACER1Year 3
GlassbottomYear 1,Glassbottom,33,APAL,7.5,120,256,1,Year 1,1,Rocky,Rocky7.5,RockyYear 1
GlassbottomYear 2,Glassbottom,33,APAL,7.5,120,256,1,Year 2,1,Rocky,Rocky7.5,RockyYear 2
GlassbottomYear 3,Glassbottom,33,APAL,7.5,120,256,1,Year 3,1,Rocky,Rocky7.5,RockyYear 3
GlassbottomYear 1,Glassbottom,33,APAL,7.5,121,256,"1,2",Year 1,1,Rocky,Rocky7.5,RockyYear 1
GlassbottomYear 2,Glassbottom,33,APAL,7.5,121,256,"1,2",Year 2,1,Rocky,Rocky7.5,RockyYear 2
GlassbottomYear 3,Glassbottom,33,APAL,7.5,121,256,"1,2",Year 3,1,Rocky,Rocky7.5,RockyYear 3
GlassbottomYear 1,Glassbottom,33,APAL,7.5,155,260,1,Year 1,1,Midway,Midway7.5,MidwayYear 1
GlassbottomYear 2,Glassbottom,33,APAL,7.5,155,260,1,Year 2,1,Midway,Midway7.5,MidwayYear 2
GlassbottomYear 3,Glassbottom,33,APAL,7.5,155,260,1,Year 3,1,Midway,Midway7.5,MidwayYear 3
GlassbottomYear 1,Glassbottom,33,APAL,7.5,156,260,1,Year 1,1,Midway,Midway7.5,MidwayYear 1
GlassbottomYear 2,Glassbottom,33,APAL,7.5,156,260,1,Year 2,1,Midway,Midway7.5,MidwayYear 2
GlassbottomYear 3,Glassbottom,33,APAL,7.5,156,260,1,Year 3,1,Midway,Midway7.5,MidwayYear 3
GlassbottomYear 1,Glassbottom,33,APAL,7.5,209,401,1,Year 1,1,unknown,unknown7.5,unknownYear 1
GlassbottomYear 2,Glassbottom,33,APAL,7.5,209,401,1,Year 2,1,unknown,unknown7.5,unknownYear 2
GlassbottomYear 3,Glassbottom,33,APAL,7.5,209,401,1,Year 3,1,unknown,unknown7.5,unknownYear 3
GlassbottomYear 1,Glassbottom,33,APAL,7.5,215,401,1,Year 1,1,unknown,unknown7.5,unknownYear 1
GlassbottomYear 2,Glassbottom,33,APAL,7.5,215,401,1,Year 2,1,unknown,unknown7.5,unknownYear 2
GlassbottomYear 3,Glassbottom,33,APAL,7.5,215,401,1,Year 3,1,unknown,unknown7.5,unknownYear 3
GlassbottomYear 1,Glassbottom,33,APAL,7.5,232,369,1,Year 1,1,unknown,unknown7.5,unknownYear 1
GlassbottomYear 2,Glassbottom,33,APAL,7.5,232,369,1,Year 2,1,unknown,unknown7.5,unknownYear 2
GlassbottomYear 3,Glassbottom,33,APAL,7.5,232,369,1,Year 3,1,unknown,unknown7.5,unknownYear 3
GlassbottomYear 1,Glassbottom,33,APAL,7.5,237,369,1,Year 1,1,unknown,unknown7.5,unknownYear 1
GlassbottomYear 2,Glassbottom,33,APAL,7.5,237,369,1,Year 2,1,unknown,unknown7.5,unknownYear 2
GlassbottomYear 3,Glassbottom,33,APAL,7.5,237,369,1,Year 3,1,unknown,unknown7.5,unknownYear 3
GlassbottomYear 1,Glassbottom,34,APAL,7.5,31,258,2,Year 1,1,Midway,Midway7.5,MidwayYear 1
GlassbottomYear 2,Glassbottom,34,APAL,7.5,31,258,2,Year 2,1,Midway,Midway7.5,MidwayYear 2
GlassbottomYear 3,Glassbottom,34,APAL,7.5,31,258,2,Year 3,1,Midway,Midway7.5,MidwayYear 3
GlassbottomYear 1,Glassbottom,34,APAL,7.5,32,258,2,Year 1,1,Midway,Midway7.5,MidwayYear 1
GlassbottomYear 2,Glassbottom,34,APAL,7.5,32,258,2,Year 2,1,Midway,Midway7.5,MidwayYear 2
GlassbottomYear 3,Glassbottom,34,APAL,7.5,32,258,2,Year 3,1,Midway,Midway7.5,MidwayYear 3
GlassbottomYear 1,Glassbottom,34,ACER,7.5,45,268,2,Year 1,1,ACER1,ACER17.5,ACER1Year 1
GlassbottomYear 2,Glassbottom,34,ACER,7.5,45,268,2,Year 2,1,ACER1,ACER17.5,ACER1Year 2
GlassbottomYear 3,Glassbottom,34,ACER,7.5,45,268,2,Year 3,1,ACER1,ACER17.5,ACER1Year 3
GlassbottomYear 1,Glassbottom,34,ACER,7.5,46,268,2,Year 1,1,ACER1,ACER17.5,ACER1Year 1
GlassbottomYear 2,Glassbottom,34,ACER,7.5,46,268,2,Year 2,1,ACER1,ACER17.5,ACER1Year 2
GlassbottomYear 3,Glassbottom,34,ACER,7.5,46,268,2,Year 3,1,ACER1,ACER17.5,ACER1Year 3
GlassbottomYear 1,Glassbottom,34,ACER,7.5,74,530,2,Year 1,1,530,5307.5,530Year 1
GlassbottomYear 2,Glassbottom,34,ACER,7.5,74,530,2,Year 2,1,530,5307.5,530Year 2
GlassbottomYear 3,Glassbottom,34,ACER,7.5,74,530,2,Year 3,1,530,5307.5,530Year 3
GlassbottomYear 1,Glassbottom,34,ACER,7.5,78,530,2,Year 1,1,530,5307.5,530Year 1
GlassbottomYear 2,Glassbottom,34,ACER,7.5,78,530,2,Year 2,1,530,5307.5,530Year 2
GlassbottomYear 3,Glassbottom,34,ACER,7.5,78,530,2,Year 3,1,530,5307.5,530Year 3
GlassbottomYear 1,Glassbottom,34,ACER,7.5,83,272,2,Year 1,1,ACER1,ACER17.5,ACER1Year 1
GlassbottomYear 2,Glassbottom,34,ACER,7.5,83,272,2,Year 2,1,ACER1,ACER17.5,ACER1Year 2
GlassbottomYear 3,Glassbottom,34,ACER,7.5,83,272,2,Year 3,1,ACER1,ACER17.5,ACER1Year 3
GlassbottomYear 1,Glassbottom,34,ACER,7.5,84,272,,Year 1,0,ACER1,ACER17.5,ACER1Year 1
GlassbottomYear 2,Glassbottom,34,ACER,7.5,84,272,,Year 2,0,ACER1,ACER17.5,ACER1Year 2
GlassbottomYear 3,Glassbottom,34,ACER,7.5,84,272,,Year 3,0,ACER1,ACER17.5,ACER1Year 3
GlassbottomYear 1,Glassbottom,34,APAL,7.5,114,256,2,Year 1,1,Rocky,Rocky7.5,RockyYear 1
GlassbottomYear 2,Glassbottom,34,APAL,7.5,114,256,2,Year 2,1,Rocky,Rocky7.5,RockyYear 2
GlassbottomYear 3,Glassbottom,34,APAL,7.5,114,256,2,Year 3,1,Rocky,Rocky7.5,RockyYear 3
GlassbottomYear 1,Glassbottom,34,APAL,7.5,127,256,2,Year 1,1,Rocky,Rocky7.5,RockyYear 1
GlassbottomYear 2,Glassbottom,34,APAL,7.5,127,256,2,Year 2,1,Rocky,Rocky7.5,RockyYear 2
GlassbottomYear 3,Glassbottom,34,APAL,7.5,127,256,2,Year 3,1,Rocky,Rocky7.5,RockyYear 3
GlassbottomYear 1,Glassbottom,34,APAL,7.5,147,260,2,Year 1,1,Midway,Midway7.5,MidwayYear 1
GlassbottomYear 2,Glassbottom,34,APAL,7.5,147,260,2,Year 2,1,Midway,Midway7.5,MidwayYear 2
GlassbottomYear 3,Glassbottom,34,APAL,7.5,147,260,2,Year 3,1,Midway,Midway7.5,MidwayYear 3
GlassbottomYear 1,Glassbottom,34,APAL,7.5,148,260,2,Year 1,1,Midway,Midway7.5,MidwayYear 1
GlassbottomYear 2,Glassbottom,34,APAL,7.5,148,260,2,Year 2,1,Midway,Midway7.5,MidwayYear 2
GlassbottomYear 3,Glassbottom,34,APAL,7.5,148,260,2,Year 3,1,Midway,Midway7.5,MidwayYear 3
GlassbottomYear 1,Glassbottom,34,APAL,7.5,210,401,2,Year 1,1,unknown,unknown7.5,unknownYear 1
GlassbottomYear 2,Glassbottom,34,APAL,7.5,210,401,2,Year 2,1,unknown,unknown7.5,unknownYear 2
GlassbottomYear 3,Glassbottom,34,APAL,7.5,210,401,2,Year 3,1,unknown,unknown7.5,unknownYear 3
GlassbottomYear 1,Glassbottom,34,APAL,7.5,223,401,2,Year 1,1,unknown,unknown7.5,unknownYear 1
GlassbottomYear 2,Glassbottom,34,APAL,7.5,223,401,2,Year 2,1,unknown,unknown7.5,unknownYear 2
GlassbottomYear 3,Glassbottom,34,APAL,7.5,223,401,2,Year 3,1,unknown,unknown7.5,unknownYear 3
GlassbottomYear 1,Glassbottom,34,APAL,7.5,226,369,2,Year 1,1,unknown,unknown7.5,unknownYear 1
GlassbottomYear 2,Glassbottom,34,APAL,7.5,226,369,2,Year 2,1,unknown,unknown7.5,unknownYear 2
GlassbottomYear 3,Glassbottom,34,APAL,7.5,226,369,2,Year 3,1,unknown,unknown7.5,unknownYear 3
GlassbottomYear 1,Glassbottom,34,APAL,7.5,234,369,2,Year 1,1,unknown,unknown7.5,unknownYear 1
GlassbottomYear 2,Glassbottom,34,APAL,7.5,234,369,2,Year 2,1,unknown,unknown7.5,unknownYear 2
GlassbottomYear 3,Glassbottom,34,APAL,7.5,234,369,2,Year 3,1,unknown,unknown7.5,unknownYear 3
CastawayYear 1,Castaway,41,ACER,6,1,266,,Year 1,0,ACER1,ACER16,ACER1Year 1
CastawayYear 2,Castaway,41,ACER,6,1,266,,Year 2,0,ACER1,ACER16,ACER1Year 2
CastawayYear 3,Castaway,41,ACER,6,1,266,,Year 3,0,ACER1,ACER16,ACER1Year 3
CastawayYear 1,Castaway,41,ACER,6,6,266,,Year 1,0,ACER1,ACER16,ACER1Year 1
CastawayYear 2,Castaway,41,ACER,6,6,266,,Year 2,0,ACER1,ACER16,ACER1Year 2
CastawayYear 3,Castaway,41,ACER,6,6,266,,Year 3,0,ACER1,ACER16,ACER1Year 3
CastawayYear 1,Castaway,41,APAL,6,54,251,2,Year 1,1,Midway,Midway6,MidwayYear 1
CastawayYear 2,Castaway,41,APAL,6,54,251,2,Year 2,1,Midway,Midway6,MidwayYear 2
CastawayYear 3,Castaway,41,APAL,6,54,251,2,Year 3,1,Midway,Midway6,MidwayYear 3
CastawayYear 1,Castaway,41,APAL,6,60,251,2,Year 1,1,Midway,Midway6,MidwayYear 1
CastawayYear 2,Castaway,41,APAL,6,60,251,2,Year 2,1,Midway,Midway6,MidwayYear 2
CastawayYear 3,Castaway,41,APAL,6,60,251,2,Year 3,1,Midway,Midway6,MidwayYear 3
CastawayYear 1,Castaway,41,ACER,6,105,548,No Data,Year 1,1,ACER1,ACER16,ACER1Year 1
CastawayYear 2,Castaway,41,ACER,6,105,548,No Data,Year 2,0,ACER1,ACER16,ACER1Year 2
CastawayYear 3,Castaway,41,ACER,6,105,548,No Data,Year 3,0,ACER1,ACER16,ACER1Year 3
CastawayYear 1,Castaway,41,APAL,6,139,372,2,Year 1,1,Rocky2,Rocky26,Rocky2Year 1
CastawayYear 2,Castaway,41,APAL,6,139,372,2,Year 2,1,Rocky2,Rocky26,Rocky2Year 2
CastawayYear 3,Castaway,41,APAL,6,139,372,2,Year 3,1,Rocky2,Rocky26,Rocky2Year 3
CastawayYear 1,Castaway,41,APAL,6,168,260,2,Year 1,1,Midway,Midway6,MidwayYear 1
CastawayYear 2,Castaway,41,APAL,6,168,260,2,Year 2,1,Midway,Midway6,MidwayYear 2
CastawayYear 3,Castaway,41,APAL,6,168,260,2,Year 3,1,Midway,Midway6,MidwayYear 3
CastawayYear 1,Castaway,41,APAL,6,172,260,2,Year 1,1,Midway,Midway6,MidwayYear 1
CastawayYear 2,Castaway,41,APAL,6,172,260,2,Year 2,1,Midway,Midway6,MidwayYear 2
CastawayYear 3,Castaway,41,APAL,6,172,260,2,Year 3,1,Midway,Midway6,MidwayYear 3
CastawayYear 1,Castaway,41,APAL,6,185,363,,Year 1,0,Rocky,Rocky6,RockyYear 1
CastawayYear 2,Castaway,41,APAL,6,185,363,,Year 2,0,Rocky,Rocky6,RockyYear 2
CastawayYear 3,Castaway,41,APAL,6,185,363,,Year 3,0,Rocky,Rocky6,RockyYear 3
CastawayYear 1,Castaway,41,APAL,6,192,363,2,Year 1,1,Rocky,Rocky6,RockyYear 1
CastawayYear 2,Castaway,41,APAL,6,192,363,2,Year 2,1,Rocky,Rocky6,RockyYear 2
CastawayYear 3,Castaway,41,APAL,6,192,363,2,Year 3,1,Rocky,Rocky6,RockyYear 3
CastawayYear 1,Castaway,41,APAL,6,201,253,2,Year 1,1,Gorda,Gorda6,GordaYear 1
CastawayYear 2,Castaway,41,APAL,6,201,253,2,Year 2,1,Gorda,Gorda6,GordaYear 2
CastawayYear 3,Castaway,41,APAL,6,201,253,2,Year 3,1,Gorda,Gorda6,GordaYear 3
CastawayYear 1,Castaway,41,APAL,6,202,253,2,Year 1,1,Gorda,Gorda6,GordaYear 1
CastawayYear 2,Castaway,41,APAL,6,202,253,2,Year 2,1,Gorda,Gorda6,GordaYear 2
CastawayYear 3,Castaway,41,APAL,6,202,253,2,Year 3,1,Gorda,Gorda6,GordaYear 3
CastawayYear 1,Castaway,41,APAL,6,241,475,2,Year 1,1,Rocky,Rocky6,RockyYear 1
CastawayYear 2,Castaway,41,APAL,6,241,475,2,Year 2,1,Rocky,Rocky6,RockyYear 2
CastawayYear 3,Castaway,41,APAL,6,241,475,2,Year 3,1,Rocky,Rocky6,RockyYear 3
CastawayYear 1,Castaway,41,APAL,6,242,475,2,Year 1,1,Rocky,Rocky6,RockyYear 1
CastawayYear 2,Castaway,41,APAL,6,242,475,2,Year 2,1,Rocky,Rocky6,RockyYear 2
CastawayYear 3,Castaway,41,APAL,6,242,475,2,Year 3,1,Rocky,Rocky6,RockyYear 3
CastawayYear 1,Castaway,42,APAL,6,52,251,Not Harvested,Year 1,1,Midway,Midway6,MidwayYear 1
CastawayYear 2,Castaway,42,APAL,6,52,251,Not Harvested,Year 2,1,Midway,Midway6,MidwayYear 2
CastawayYear 3,Castaway,42,APAL,6,52,251,Not Harvested,Year 3,0,Midway,Midway6,MidwayYear 3
CastawayYear 1,Castaway,42,APAL,6,62,251,2,Year 1,1,Midway,Midway6,MidwayYear 1
CastawayYear 2,Castaway,42,APAL,6,62,251,2,Year 2,1,Midway,Midway6,MidwayYear 2
CastawayYear 3,Castaway,42,APAL,6,62,251,2,Year 3,1,Midway,Midway6,MidwayYear 3
CastawayYear 1,Castaway,42,APAL,6,142,372,Not Harvested,Year 1,1,Rocky2,Rocky26,Rocky2Year 1
CastawayYear 2,Castaway,42,APAL,6,142,372,Not Harvested,Year 2,1,Rocky2,Rocky26,Rocky2Year 2
CastawayYear 3,Castaway,42,APAL,6,142,372,Not Harvested,Year 3,0,Rocky2,Rocky26,Rocky2Year 3
CastawayYear 1,Castaway,42,APAL,6,144,372,No Data,Year 1,1,Rocky2,Rocky26,Rocky2Year 1
CastawayYear 2,Castaway,42,APAL,6,144,372,No Data,Year 2,0,Rocky2,Rocky26,Rocky2Year 2
CastawayYear 3,Castaway,42,APAL,6,144,372,No Data,Year 3,0,Rocky2,Rocky26,Rocky2Year 3
CastawayYear 1,Castaway,42,APAL,6,175,260,Not Harvested,Year 1,1,Midway,Midway6,MidwayYear 1
CastawayYear 2,Castaway,42,APAL,6,175,260,Not Harvested,Year 2,1,Midway,Midway6,MidwayYear 2
CastawayYear 3,Castaway,42,APAL,6,175,260,Not Harvested,Year 3,0,Midway,Midway6,MidwayYear 3
CastawayYear 1,Castaway,42,APAL,6,176,260,2,Year 1,1,Midway,Midway6,MidwayYear 1
CastawayYear 2,Castaway,42,APAL,6,176,260,2,Year 2,1,Midway,Midway6,MidwayYear 2
CastawayYear 3,Castaway,42,APAL,6,176,260,2,Year 3,1,Midway,Midway6,MidwayYear 3
CastawayYear 1,Castaway,42,APAL,6,182,363,2,Year 1,1,Rocky,Rocky6,RockyYear 1
CastawayYear 2,Castaway,42,APAL,6,182,363,2,Year 2,1,Rocky,Rocky6,RockyYear 2
CastawayYear 3,Castaway,42,APAL,6,182,363,2,Year 3,1,Rocky,Rocky6,RockyYear 3
CastawayYear 1,Castaway,42,APAL,6,188,363,2,Year 1,1,Rocky,Rocky6,RockyYear 1
CastawayYear 2,Castaway,42,APAL,6,188,363,2,Year 2,1,Rocky,Rocky6,RockyYear 2
CastawayYear 3,Castaway,42,APAL,6,188,363,2,Year 3,1,Rocky,Rocky6,RockyYear 3
CastawayYear 1,Castaway,42,APAL,6,205,253,2,Year 1,1,Gorda,Gorda6,GordaYear 1
CastawayYear 2,Castaway,42,APAL,6,205,253,2,Year 2,1,Gorda,Gorda6,GordaYear 2
CastawayYear 3,Castaway,42,APAL,6,205,253,2,Year 3,1,Gorda,Gorda6,GordaYear 3
CastawayYear 1,Castaway,42,APAL,6,206,253,Not Harvested,Year 1,1,Gorda,Gorda6,GordaYear 1
CastawayYear 2,Castaway,42,APAL,6,206,253,Not Harvested,Year 2,1,Gorda,Gorda6,GordaYear 2
CastawayYear 3,Castaway,42,APAL,6,206,253,Not Harvested,Year 3,1,Gorda,Gorda6,GordaYear 3
CastawayYear 1,Castaway,42,APAL,6,246,475,2,Year 1,1,Rocky,Rocky6,RockyYear 1
CastawayYear 2,Castaway,42,APAL,6,246,475,2,Year 2,,Rocky,Rocky6,RockyYear 2
CastawayYear 3,Castaway,42,APAL,6,246,475,2,Year 3,,Rocky,Rocky6,RockyYear 3
CastawayYear 1,Castaway,42,APAL,6,247,475,2,Year 1,1,Rocky,Rocky6,RockyYear 1
CastawayYear 2,Castaway,42,APAL,6,247,475,2,Year 2,1,Rocky,Rocky6,RockyYear 2
CastawayYear 3,Castaway,42,APAL,6,247,475,2,Year 3,1,Rocky,Rocky6,RockyYear 3
GlassbottomYear 1,Glassbottom,43,APAL,6,19,258,2,Year 1,1,Midway,Midway6,MidwayYear 1
GlassbottomYear 2,Glassbottom,43,APAL,6,19,258,2,Year 2,1,Midway,Midway6,MidwayYear 2
GlassbottomYear 3,Glassbottom,43,APAL,6,19,258,2,Year 3,1,Midway,Midway6,MidwayYear 3
GlassbottomYear 1,Glassbottom,43,APAL,6,21,258,2,Year 1,1,Midway,Midway6,MidwayYear 1
GlassbottomYear 2,Glassbottom,43,APAL,6,21,258,2,Year 2,1,Midway,Midway6,MidwayYear 2
GlassbottomYear 3,Glassbottom,43,APAL,6,21,258,2,Year 3,1,Midway,Midway6,MidwayYear 3
GlassbottomYear 1,Glassbottom,43,ACER,6,37,268,2,Year 1,1,ACER1,ACER16,ACER1Year 1
GlassbottomYear 2,Glassbottom,43,ACER,6,37,268,2,Year 2,1,ACER1,ACER16,ACER1Year 2
GlassbottomYear 3,Glassbottom,43,ACER,6,37,268,2,Year 3,1,ACER1,ACER16,ACER1Year 3
GlassbottomYear 1,Glassbottom,43,ACER,6,38,268,2,Year 1,1,ACER1,ACER16,ACER1Year 1
GlassbottomYear 2,Glassbottom,43,ACER,6,38,268,2,Year 2,1,ACER1,ACER16,ACER1Year 2
GlassbottomYear 3,Glassbottom,43,ACER,6,38,268,2,Year 3,1,ACER1,ACER16,ACER1Year 3
GlassbottomYear 1,Glassbottom,43,ACER,6,67,530,2,Year 1,1,530,5306,530Year 1
GlassbottomYear 2,Glassbottom,43,ACER,6,67,530,2,Year 2,1,530,5306,530Year 2
GlassbottomYear 3,Glassbottom,43,ACER,6,67,530,2,Year 3,1,530,5306,530Year 3
GlassbottomYear 1,Glassbottom,43,ACER,6,72,530,2,Year 1,1,530,5306,530Year 1
GlassbottomYear 2,Glassbottom,43,ACER,6,72,530,2,Year 2,1,530,5306,530Year 2
GlassbottomYear 3,Glassbottom,43,ACER,6,72,530,2,Year 3,1,530,5306,530Year 3
GlassbottomYear 1,Glassbottom,43,ACER,6,91,272,2,Year 1,1,ACER1,ACER16,ACER1Year 1
GlassbottomYear 2,Glassbottom,43,ACER,6,91,272,2,Year 2,1,ACER1,ACER16,ACER1Year 2
GlassbottomYear 3,Glassbottom,43,ACER,6,91,272,2,Year 3,1,ACER1,ACER16,ACER1Year 3
GlassbottomYear 1,Glassbottom,43,ACER,6,92,272,2,Year 1,1,ACER1,ACER16,ACER1Year 1
GlassbottomYear 2,Glassbottom,43,ACER,6,92,272,2,Year 2,1,ACER1,ACER16,ACER1Year 2
GlassbottomYear 3,Glassbottom,43,ACER,6,92,272,2,Year 3,1,ACER1,ACER16,ACER1Year 3
GlassbottomYear 1,Glassbottom,43,APAL,6,118,256,2,Year 1,1,Rocky,Rocky6,RockyYear 1
GlassbottomYear 2,Glassbottom,43,APAL,6,118,256,2,Year 2,1,Rocky,Rocky6,RockyYear 2
GlassbottomYear 3,Glassbottom,43,APAL,6,118,256,2,Year 3,1,Rocky,Rocky6,RockyYear 3
GlassbottomYear 1,Glassbottom,43,APAL,6,123,256,2,Year 1,1,Rocky,Rocky6,RockyYear 1
GlassbottomYear 2,Glassbottom,43,APAL,6,123,256,2,Year 2,1,Rocky,Rocky6,RockyYear 2
GlassbottomYear 3,Glassbottom,43,APAL,6,123,256,2,Year 3,1,Rocky,Rocky6,RockyYear 3
GlassbottomYear 1,Glassbottom,43,APAL,6,159,260,2,Year 1,1,Midway,Midway6,MidwayYear 1
GlassbottomYear 2,Glassbottom,43,APAL,6,159,260,2,Year 2,1,Midway,Midway6,MidwayYear 2
GlassbottomYear 3,Glassbottom,43,APAL,6,159,260,2,Year 3,1,Midway,Midway6,MidwayYear 3
GlassbottomYear 1,Glassbottom,43,APAL,6,160,260,2,Year 1,1,Midway,Midway6,MidwayYear 1
GlassbottomYear 2,Glassbottom,43,APAL,6,160,260,2,Year 2,1,Midway,Midway6,MidwayYear 2
GlassbottomYear 3,Glassbottom,43,APAL,6,160,260,2,Year 3,1,Midway,Midway6,MidwayYear 3
GlassbottomYear 1,Glassbottom,43,APAL,6,211,401,2,Year 1,1,unknown,unknown6,unknownYear 1
GlassbottomYear 2,Glassbottom,43,APAL,6,211,401,2,Year 2,1,unknown,unknown6,unknownYear 2
GlassbottomYear 3,Glassbottom,43,APAL,6,211,401,2,Year 3,,unknown,unknown6,unknownYear 3
GlassbottomYear 1,Glassbottom,43,APAL,6,214,401,2,Year 1,1,unknown,unknown6,unknownYear 1
GlassbottomYear 2,Glassbottom,43,APAL,6,214,401,2,Year 2,1,unknown,unknown6,unknownYear 2
GlassbottomYear 3,Glassbottom,43,APAL,6,214,401,2,Year 3,1,unknown,unknown6,unknownYear 3
GlassbottomYear 1,Glassbottom,43,APAL,6,229,369,2,Year 1,1,unknown,unknown6,unknownYear 1
GlassbottomYear 2,Glassbottom,43,APAL,6,229,369,2,Year 2,1,unknown,unknown6,unknownYear 2
GlassbottomYear 3,Glassbottom,43,APAL,6,229,369,2,Year 3,1,unknown,unknown6,unknownYear 3
GlassbottomYear 1,Glassbottom,43,APAL,6,235,369,2,Year 1,1,unknown,unknown6,unknownYear 1
GlassbottomYear 2,Glassbottom,43,APAL,6,235,369,2,Year 2,1,unknown,unknown6,unknownYear 2
GlassbottomYear 3,Glassbottom,43,APAL,6,235,369,2,Year 3,1,unknown,unknown6,unknownYear 3
GlassbottomYear 1,Glassbottom,44,APAL,6,20,258,1,Year 1,1,Midway,Midway6,MidwayYear 1
GlassbottomYear 2,Glassbottom,44,APAL,6,20,258,1,Year 2,1,Midway,Midway6,MidwayYear 2
GlassbottomYear 3,Glassbottom,44,APAL,6,20,258,1,Year 3,0,Midway,Midway6,MidwayYear 3
GlassbottomYear 1,Glassbottom,44,APAL,6,26,258,1,Year 1,1,Midway,Midway6,MidwayYear 1
GlassbottomYear 2,Glassbottom,44,APAL,6,26,258,1,Year 2,1,Midway,Midway6,MidwayYear 2
GlassbottomYear 3,Glassbottom,44,APAL,6,26,258,1,Year 3,1,Midway,Midway6,MidwayYear 3
GlassbottomYear 1,Glassbottom,44,ACER,6,35,268,1,Year 1,1,ACER1,ACER16,ACER1Year 1
GlassbottomYear 2,Glassbottom,44,ACER,6,35,268,1,Year 2,1,ACER1,ACER16,ACER1Year 2
GlassbottomYear 3,Glassbottom,44,ACER,6,35,268,1,Year 3,1,ACER1,ACER16,ACER1Year 3
GlassbottomYear 1,Glassbottom,44,ACER,6,36,268,Not Harvested,Year 1,1,ACER1,ACER16,ACER1Year 1
GlassbottomYear 2,Glassbottom,44,ACER,6,36,268,Not Harvested,Year 2,1,ACER1,ACER16,ACER1Year 2
GlassbottomYear 3,Glassbottom,44,ACER,6,36,268,Not Harvested,Year 3,1,ACER1,ACER16,ACER1Year 3
GlassbottomYear 1,Glassbottom,44,ACER,6,66,530,1,Year 1,1,530,5306,530Year 1
GlassbottomYear 2,Glassbottom,44,ACER,6,66,530,1,Year 2,1,530,5306,530Year 2
GlassbottomYear 3,Glassbottom,44,ACER,6,66,530,1,Year 3,1,530,5306,530Year 3
GlassbottomYear 1,Glassbottom,44,ACER,6,68,530,1,Year 1,1,530,5306,530Year 1
GlassbottomYear 2,Glassbottom,44,ACER,6,68,530,1,Year 2,1,530,5306,530Year 2
GlassbottomYear 3,Glassbottom,44,ACER,6,68,530,1,Year 3,1,530,5306,530Year 3
GlassbottomYear 1,Glassbottom,44,ACER,6,93,272,1,Year 1,1,ACER1,ACER16,ACER1Year 1
GlassbottomYear 2,Glassbottom,44,ACER,6,93,272,1,Year 2,1,ACER1,ACER16,ACER1Year 2
GlassbottomYear 3,Glassbottom,44,ACER,6,93,272,1,Year 3,1,ACER1,ACER16,ACER1Year 3
GlassbottomYear 1,Glassbottom,44,ACER,6,94,272,Not Harvested,Year 1,1,ACER1,ACER16,ACER1Year 1
GlassbottomYear 2,Glassbottom,44,ACER,6,94,272,Not Harvested,Year 2,1,ACER1,ACER16,ACER1Year 2
GlassbottomYear 3,Glassbottom,44,ACER,6,94,272,Not Harvested,Year 3,1,ACER1,ACER16,ACER1Year 3
GlassbottomYear 1,Glassbottom,44,APAL,6,119,256,"1,2",Year 1,1,Rocky,Rocky6,RockyYear 1
GlassbottomYear 2,Glassbottom,44,APAL,6,119,256,"1,2",Year 2,1,Rocky,Rocky6,RockyYear 2
GlassbottomYear 3,Glassbottom,44,APAL,6,119,256,"1,2",Year 3,1,Rocky,Rocky6,RockyYear 3
