pmid,first_author,year,title,journal,doi,source_queries
28378059,Huntington,2017,Facilitation in Caribbean coral reefs: high densities of staghorn coral foster greater coral condition and reef fish composition.,Oecologia,10.1007/s00442-017-3859-7,Q1_genus_caribbean; Q3_mesh_anthozoa
28320966,Altieri,2017,Tropical dead zones and mass mortalities on coral reefs.,Proceedings of the National Academy of Sciences of the United States of America,10.1073/pnas.1621517114,Q3_mesh_anthozoa
28319134,Drury,2017,"Genotype and local environment dynamically influence growth, disturbance response and survivorship in the threatened coral, Acropora cervicornis.",PloS one,10.1371/journal.pone.0174000,Q1_genus_caribbean; Q4_esa_threatened
28027580,Shaver,2017,Effects of predation and nutrient enrichment on the success and microbiome of a foundational coral.,Ecology,10.1002/ecy.1709,Q1_genus_caribbean; Q3_mesh_anthozoa
27902710,Soler-Hurtado,2016,Aspergillus sydowii and Other Potential Fungal Pathogens in Gorgonian Octocorals of the Ecuadorian Pacific.,PloS one,10.1371/journal.pone.0165992,Q3_mesh_anthozoa
27781176,Lirman,2016,Ecological solutions to reef degradation: optimizing coral reef restoration in the Caribbean and Western Atlantic.,PeerJ,10.7717/peerj.2597,Q1_genus_caribbean
27703844,D'Antonio,2016,Investigating the spatial distribution and effects of nearshore topography on Acropora cervicornis abundance in Southeast Florida.,PeerJ,10.7717/peerj.2473,Q1_genus_caribbean
27547525,Verde,2016,Tissue mortality by Caribbean ciliate infection and white band disease in three reef-building coral species.,PeerJ,10.7717/peerj.2196,Q1_genus_caribbean
27168990,Flint,2016,Potential spawn induction and suppression agents in Caribbean Acropora cervicornis corals of the Florida Keys.,PeerJ,10.7717/peerj.1982,Q1_genus_caribbean
27083502,Chu,2016,Caribbean corals house shared and host-specific microbial symbionts over time and space.,Environmental microbiology reports,10.1111/1758-2229.12412,Q1_genus_caribbean; Q2_abbreviated
27076191,Drury,2016,Genomic variation among populations of threatened coral: Acropora cervicornis.,BMC genomics,10.1186/s12864-016-2583-8,Q1_genus_caribbean; Q4_esa_threatened
27029403,Kuffner,2016,A geological perspective on the degradation and conservation of western Atlantic coral reefs.,Conservation biology : the journal of the Society for Conservation Biology,10.1111/cobi.12725,Q1_genus_caribbean
26753672,González-Rivero,2016,Asymmetric competition prevents the outbreak of an opportunistic species after coral reef degradation.,Oecologia,10.1007/s00442-015-3541-x,Q3_mesh_anthozoa
26734500,Bright,2015,Enhanced susceptibility to predation in corals of compromised condition.,PeerJ,10.7717/peerj.1239,Q1_genus_caribbean; Q2_abbreviated
26641083,Schill,2015,No Reef Is an Island: Integrating Coral Reef Connectivity Data into the Design of Regional-Scale Marine Protected Area Networks.,PloS one,10.1371/journal.pone.0144199,Q3_mesh_anthozoa
26624698,Garrison,2015,Damselflies of the genus Argia of the Guiana Shield (Odonata: Coenagrionidae).,Zootaxa,10.11646/zootaxa.4042.1.1,Q2_abbreviated
26580977,Schopmeyer,2015,"Occupation Dynamics and Impacts of Damselfish Territoriality on Recovering Populations of the Threatened Staghorn Coral, Acropora cervicornis.",PloS one,10.1371/journal.pone.0141302,Q1_genus_caribbean; Q3_mesh_anthozoa
26378304,Gross,2015,Stability of Caribbean coral communities quantified by long-term monitoring and autoregression models.,Ecology,10.1890/14-0941.1,Q3_mesh_anthozoa
26184385,Hemond,2015,"Diurnal and nocturnal transcriptomic variation in the Caribbean staghorn coral, Acropora cervicornis.",Molecular ecology,10.1111/mec.13320,Q1_genus_caribbean
26119322,Riegl,2015,Coral population dynamics across consecutive mass mortality events.,Global change biology,10.1111/gcb.13014,Q1_genus_caribbean; Q3_mesh_anthozoa
26113199,Roff,2015,Decadal-scale rates of reef erosion following El Niño-related mass coral mortality.,Global change biology,10.1111/gcb.13006,Q3_mesh_anthozoa
26047488,Certner,2015,Evidence for Autoinduction and Quorum Sensing in White Band Disease-Causing Microbes on Acropora cervicornis.,Scientific reports,10.1038/srep11134,Q1_genus_caribbean
25887933,Marhaver,2015,Reproductive natural history and successful juvenile propagation of the threatened Caribbean pillar coral Dendrogyra cylindrus.,BMC ecology,10.1186/s12898-015-0039-7,Q3_mesh_anthozoa; Q4_esa_threatened
25874963,Towle,2015,Threatened Caribbean coral is able to mitigate the adverse effects of ocean acidification on calcification by increasing feeding rate.,PloS one,10.1371/journal.pone.0123394,Q1_genus_caribbean; Q4_esa_threatened
25652762,Sweet,2015,White syndrome in Acropora muricata: nonspecific bacterial infection and ciliate histophagy.,Molecular ecology,10.1111/mec.13097,Q1_genus_caribbean
25564461,Bongaerts,2015,Deep down on a Caribbean reef: lower mesophotic depths harbor a specialized coral-endosymbiont community.,Scientific reports,10.1038/srep07652,Q3_mesh_anthozoa
25537577,Perry,2014,Regional-scale dominance of non-framework building corals on Caribbean reefs affects carbonate production and future reef growth.,Global change biology,10.1111/gcb.12792,Q1_genus_caribbean
25438171,Prada,2014,Strong natural selection on juveniles maintains a narrow adult hybrid zone in a broadcast spawner.,The American naturalist,10.1086/678403,Q3_mesh_anthozoa
25347837,Edgehouse,2014,Predatory luring behavior of odonates.,Journal of insect science (Online),10.1093/jisesa/ieu008,Q2_abbreviated
25268812,Lirman,2014,"Growth dynamics of the threatened Caribbean staghorn coral Acropora cervicornis: influence of host genotype, symbiont identity, colony size, and environmental setting.",PloS one,10.1371/journal.pone.0107253,Q1_genus_caribbean; Q2_abbreviated
25210660,Miller,2014,"Disease dynamics and potential mitigation among restored and wild staghorn coral, Acropora cervicornis.",PeerJ,10.7717/peerj.541,Q1_genus_caribbean
24677278,Jovanović,2014,Effects of titanium dioxide (TiO2 ) nanoparticles on caribbean reef-building coral (Montastraea faveolata).,Environmental toxicology and chemistry,10.1002/etc.2560,Q3_mesh_anthozoa
24039807,Davies,2013,Ecological complexity of coral recruitment processes: effects of invertebrate herbivores on coral recruitment and growth depends upon substratum properties and coral species.,PloS one,10.1371/journal.pone.0072830,Q3_mesh_anthozoa
23940737,Li,2013,"Highly heterogeneous bacterial communities associated with the South China Sea reef corals Porites lutea, Galaxea fascicularis and Acropora millepora.",PloS one,10.1371/journal.pone.0071301,Q1_genus_caribbean
23602263,Wilkinson,2013,Status of Caribbean coral reefs in seven countries in 1986.,Marine pollution bulletin,10.1016/j.marpolbul.2013.02.040,Q1_genus_caribbean
23600249,Marhaver,2013,Janzen-Connell effects in a broadcast-spawning Caribbean coral: distance-dependent survival of larvae and settlers.,Ecology,10.1890/12-0985.1,Q3_mesh_anthozoa
23457605,Isomura,2013,"Possible natural hybridization of two morphologically distinct species of Acropora (Cnidaria, Scleractinia) in the Pacific: fertilization and larval survival rates.",PloS one,10.1371/journal.pone.0056701,Q1_genus_caribbean
23372774,Cetz-Navarro,2013,Biological responses of the coral Montastraea annularis to the removal of filamentous turf algae.,PloS one,10.1371/journal.pone.0054810,Q3_mesh_anthozoa
