colony_uid,study,region,population_type,n_intervals,followup_years,death_event,shrink_events,ever_shrunk,mean_timeline_events,prop_acute_exposure
NOAA_survey::BB2-t284,NOAA_survey,Curacao,Restoration fragment,1,1.06301369863014,0,1,1,1,0
NOAA_survey::BB2-t285,NOAA_survey,Curacao,Natural colony,4,4.06849315068494,0,2,1,1.5,0
NOAA_survey::BB2-t286,NOAA_survey,Curacao,Natural colony,4,4.06849315068494,0,0,0,1.5,0
NOAA_survey::BB2-t287,NOAA_survey,Curacao,Natural colony,4,4.06849315068494,0,2,1,1.5,0
NOAA_survey::BB2-t288,NOAA_survey,Curacao,Natural colony,4,4.06849315068494,1,1,1,1.5,0
NOAA_survey::BB2-t388,NOAA_survey,Curacao,Natural colony,1,0.989041095890411,1,0,0,1,0
NOAA_survey::BB2-t389,NOAA_survey,Curacao,Natural colony,2,4.024657534246581,1,0,0,1.5,0
NOAA_survey::BB2-t389,NOAA_survey,Curacao,Restoration fragment,2,2.0520547945205507,0,2,1,1,0
NOAA_survey::BB2-t390,NOAA_survey,Curacao,Natural colony,1,0.989041095890411,1,0,0,1,0
NOAA_survey::BB2-t391,NOAA_survey,Curacao,Natural colony,3,5.057534246575351,0,3,1,1.6666666666666667,0
NOAA_survey::BB2-t391,NOAA_survey,Curacao,Restoration fragment,2,2.0520547945205507,0,2,1,1,0
NOAA_survey::BB2-t392,NOAA_survey,Curacao,Natural colony,1,0.989041095890411,1,0,0,1,0
NOAA_survey::BB2-t393,NOAA_survey,Curacao,Natural colony,5,5.057534246575351,0,0,0,1.4,0
NOAA_survey::BB2-t394,NOAA_survey,Curacao,Natural colony,1,0.989041095890411,1,1,1,1,0
NOAA_survey::BB3-t263,NOAA_survey,Curacao,Natural colony,3,3.22191780821918,1,1,1,0,0
NOAA_survey::BB3-t264,NOAA_survey,Curacao,Natural colony,9,9.139726027397272,0,7,1,0.7777777777777778,0
NOAA_survey::BB3-t265,NOAA_survey,Curacao,Natural colony,9,9.139726027397272,0,8,1,0.7777777777777778,0
NOAA_survey::BB3-t266,NOAA_survey,Curacao,Natural colony,9,9.139726027397272,0,2,1,0.7777777777777778,0
NOAA_survey::BB3-t267,NOAA_survey,Curacao,Natural colony,9,9.139726027397272,0,5,1,0.7777777777777778,0
NOAA_survey::BB3-t268,NOAA_survey,Curacao,Natural colony,2,3.22191780821918,1,0,0,0,0
NOAA_survey::BB3-t268,NOAA_survey,Curacao,Restoration fragment,1,1.09041095890411,0,0,0,0,0
NOAA_survey::BB3-t269,NOAA_survey,Curacao,Natural colony,9,9.139726027397272,0,1,1,0.7777777777777778,0
NOAA_survey::BB3-t270,NOAA_survey,Curacao,Natural colony,1,1.09041095890411,1,0,0,0,0
NOAA_survey::BB3-t271,NOAA_survey,Curacao,Natural colony,2,1.98082191780822,1,0,0,0,0
NOAA_survey::BB3-t272,NOAA_survey,Curacao,Natural colony,2,1.98082191780822,1,0,0,0,0
NOAA_survey::BB3-t300,NOAA_survey,Curacao,Natural colony,1,1.03287671232877,1,0,0,2,0
NOAA_survey::BB3-t369,NOAA_survey,Curacao,Natural colony,2,2.0520547945205507,1,1,1,1,0
NOAA_survey::BB3-t370,NOAA_survey,Curacao,Natural colony,2,5.057534246575351,0,0,0,2,0
NOAA_survey::BB3-t370,NOAA_survey,Curacao,Restoration fragment,3,3.0219178082191807,0,1,1,1,0
NOAA_survey::BB3-t371,NOAA_survey,Curacao,Natural colony,3,3.0219178082191807,1,2,1,1,0
NOAA_survey::BB3-t377,NOAA_survey,Curacao,Natural colony,3,5.057534246575351,0,1,1,1.6666666666666667,0
NOAA_survey::BB3-t377,NOAA_survey,Curacao,Restoration fragment,2,2.0520547945205507,0,0,0,1,0
NOAA_survey::BB3-t378,NOAA_survey,Curacao,Natural colony,5,5.057534246575351,0,2,1,1.4,0
NOAA_survey::BB3-t379,NOAA_survey,Curacao,Natural colony,5,5.057534246575351,0,4,1,1.4,0
NOAA_survey::CF1-t023,NOAA_survey,Florida Keys,Natural colony,2,1.8547945205479401,0,2,1,3.5,1
NOAA_survey::CF1-t024,NOAA_survey,Florida Keys,Natural colony,13,12.813698630136967,0,6,1,2.8461538461538463,0.46153846153846156
NOAA_survey::CF1-t025,NOAA_survey,Florida Keys,Natural colony,2,1.8547945205479401,0,2,1,3.5,1
NOAA_survey::CF1-t026,NOAA_survey,Florida Keys,Natural colony,1,0.827397260273973,1,0,0,4,1
NOAA_survey::CF1-t027,NOAA_survey,Florida Keys,Natural colony,7,7.117808219178068,0,4,1,2.7142857142857144,0.5714285714285714
NOAA_survey::CF1-t028,NOAA_survey,Florida Keys,Natural colony,1,1.14520547945205,0,1,1,4,1
NOAA_survey::CF1-t029,NOAA_survey,Florida Keys,Natural colony,1,1.14520547945205,0,0,0,4,1
NOAA_survey::CF1-t030,NOAA_survey,Florida Keys,Natural colony,1,1.14520547945205,0,0,0,4,1
